ID,Category,Sub-Category,Role(s),Decision / Scenario,What the User Does,Risk,Freq,MITRE ATT&CK,Atomic Red Team / Caldera Test,Static Control Today,Why Static Fails,Coach Intervention,Coach Replace?,Deploy Surface,Third-Party Systems for Test,Testbed Simulation Steps,Test Data / Fixtures,Success Metric,Priority
1,Data Leak → AI,Paste code into AI,Developer,Paste proprietary source code into ChatGPT/Claude for debugging,Copies auth module with hardcoded API keys into AI chat for help fixing bug,CRITICAL,50-100x/day,"T1567.001 (Exfil to Code Repo)
T1115 (Clipboard Data)","Atomic: T1567.001 (Exfil over web service)
Custom: Clipboard→AI paste interception test
Caldera: Stockpile collection abilities (find sensitive files → exfil to web service)","DLP (regex), CASB",Regex misses semantic code context; clipboard bypasses all; CASB only managed apps,Intercept paste: LLM classifies code sensitivity. 'Contains auth module. Anonymize?',YES,Browser Extension,ChatGPT/Claude web (free tier),"1. Open ChatGPT
2. Paste code with AWS keys + proprietary function
3. Verify extension intercepts
4. Check classification (PII/secret/proprietary)","Synthetic code: AWS_SECRET_KEY, function 'calculate_margin_algo_v3', api.internal.company.com","≥95% secret detection, ≥80% proprietary code detection, <200ms latency",P0
2,Data Leak → AI,Paste DB results with PII,"Developer, Data Scientist",Paste SQL output with customer PII into AI for query optimization,"Copies query results: names, emails, phones, purchase history into Claude",CRITICAL,10-20x/day,"T1115 (Clipboard Data)
T1530 (Data from Cloud Storage)","Atomic: T1115 (Clipboard Data collection)
Custom: PII-in-clipboard detection test
Caldera: Custom ability — clipboard PII scan + exfil to GenAI",DLP (pattern),Catches SSN regex but misses contextual PII (name+email combos); blind to browser AI tools,"Detect PII via NER, offer one-click anonymization. Replace names, mask emails, preserve structure",YES,Browser Extension,ChatGPT/Claude web,"1. Paste CSV with 50 fake customer records into ChatGPT
2. Verify PII detection
3. Test anonymization output preserves structure
4. Test non-PII data (should pass)","CSV: first_name, last_name, email, phone, SSN, credit_card, purchase_amount. Mix US/EU formats","≥95% PII entity detection, <2% false positive, anonymization preserves structure",P0
3,Data Leak → AI,Upload file to AI platform,All roles,Upload XLSX/PDF/DOCX with sensitive data to AI tool,Drags Excel with financial forecasts or customer lists into ChatGPT file upload,CRITICAL,20-40x/day,"T1567 (Exfil Over Web Service)
T1048.002 (Exfil Over Asymmetric Encrypted Protocol)","Atomic: T1567 (upload to web service)
Atomic: T1048.002 (exfil via HTTPS — curl to file.io)
Caldera: Exfil Compressed Archive to Dropbox/AWS",DLP (file-level),Scans email attachments but not browser uploads to AI tools,Intercept file upload. Scan content. 'This Excel has 500 customer records. Anonymize or use approved AI?',YES,Browser Extension,ChatGPT/Claude web,"1. Create XLSX/PDF/DOCX with sensitive data
2. Drag-and-drop upload to ChatGPT
3. Verify upload intercept
4. Check content classification per file type","3 files: (a) XLSX customer PII, (b) PDF 'CONFIDENTIAL Q3 Revenue $847M', (c) DOCX salary table","≥90% content classification across file types, upload warned before data reaches AI",P0
4,Data Leak → AI,Paste CRM/deal data,Sales,Copy Salesforce opportunity with pricing + competitor intel into ChatGPT,"Copies deal value, competitor analysis, customer budget from CRM into AI",HIGH,20-50x/day,"T1115 (Clipboard Data)
T1213 (Data from Information Repositories)","Atomic: T1213 (Data from Information Repositories — SharePoint/Confluence)
Custom: CRM-to-AI clipboard monitor",None,No DLP covers SaaS CRM → browser AI copy/paste path,"Detect business entity patterns (deal amounts, competitor names). Warn about competitive intel exposure",YES,Browser Extension,"Salesforce (sandbox or mock HTML page), ChatGPT","1. Mock Salesforce page with deal info
2. Select + paste into ChatGPT
3. Verify business entity detection
4. Test with generic text (should pass)","Mock CRM: $2.3M deal, 'Competitor: Acme quoted $1.8M', customer budget range","≥80% business entity detection, <5% FP on generic business text",P1
5,Data Leak → AI,Paste HR/employee data,HR,Use AI to draft PIP or termination letter with real employee data,Pastes name + salary + performance rating + disciplinary records into Claude,CRITICAL,5-10x/day,T1115 (Clipboard Data),"Custom: HR-sensitive pattern detection test
No standard Atomic test — create custom ability for HR data classification",None,No DLP understands employment data context,Detect HR patterns (salary+name+rating). Offer anonymized template,YES,Browser Extension,ChatGPT/Claude web,"1. Compose: 'John Smith, $145K, 2.1/5 Q3, on PIP, considering termination'
2. Paste into AI
3. Verify HR classification
4. Test anonymization","'John Smith, $145K base, 2.1/5 Q3 rating, placed on PIP Oct 15, considering termination by Dec 1'",≥90% HR-sensitive combined pattern detection,P1
6,Data Leak → AI,Paste financial/MNPI,"Finance, Exec",Upload pre-earnings financials or M&A targets to AI,"Uploads unreleased revenue figures, acquisition targets, board materials for analysis",CRITICAL,5-10x/day,"T1115 (Clipboard Data)
T1005 (Data from Local System)","Custom: MNPI classification test
Atomic: T1005 (Data from Local System — find + stage sensitive files)",DLP (limited),Catches 'CONFIDENTIAL' watermark but misses unlabeled financial figures,"Detect financial patterns, classify MNPI, warn with regulatory context",YES,Browser Extension,ChatGPT/Claude web,"1. Create financial data: 'Q3 2026 Revenue: $847M (unreleased)'
2. Paste/upload
3. Verify MNPI classification
4. Test labeled vs unlabeled","Spreadsheet: revenue forecasts, 'Acquisition Target: CompanyX $500M', board resolution","≥85% MNPI detection, zero FN on labeled CONFIDENTIAL",P1
7,Data Leak → AI,Paste legal/privileged docs,Legal,"Upload contracts, litigation strategy, privilege-protected comms to AI",Uploads NDA with real client names and deal terms for clause review,CRITICAL,5-10x/day,T1115 (Clipboard Data),"Custom: Legal document classification test
No standard Atomic — create privilege detection ability",None,No DLP understands attorney-client privilege,"Detect legal patterns (contract clauses, privilege markers). Warn about privilege waiver risk",YES,Browser Extension,ChatGPT/Claude web,"1. Create synthetic NDA with clause structure
2. Upload to AI
3. Verify legal doc classification
4. Test privilege waiver warning","Synthetic NDA: party names, indemnification, 'PRIVILEGED AND CONFIDENTIAL' header","≥85% legal doc detection, privilege warning on marked docs",P2
8,Data Leak → AI,Paste support tickets with PII,Customer Support,Copy full ticket thread with customer PII + payment info into AI for response drafting,"Copies Zendesk ticket: name, email, account ID, CC, error logs into AI",HIGH,100-200x/day,"T1115 (Clipboard Data)
T1114 (Email Collection)","Atomic: T1114 (Email Collection — captures email content)
Custom: Support ticket PII scan",DLP (partial),"Catches CC regex but misses account IDs, custom PII, contextual data","Scan ticket for PII, auto-redact customer identifiers, preserve technical context",YES,Browser Extension,"Zendesk/Freshdesk (mock HTML), ChatGPT","1. Mock support ticket with PII + error logs
2. Copy-paste into AI
3. Verify PII detection on customer data
4. Verify technical content (stack traces) NOT flagged","Mock ticket: name, email, account #12345, last4 CC, error stack trace, product version","≥95% customer PII detection, <5% FP on technical content",P1
9,Data Leak → AI,Paste infra configs,"Developer, DevOps","Share k8s configs, Terraform files with internal IPs and vault paths in AI chat","Pastes docker-compose.yml with internal URLs, DB connection strings, vault tokens",HIGH,5-15x/day,"T1115 (Clipboard Data)
T1552.001 (Credentials in Files)","Atomic: T1552.001 (Unsecured Credentials in Files)
Caldera: Stockpile credential harvesting abilities",None,No tool monitors infra config sharing to AI tools,"Detect infra patterns (internal IPs, vault paths, service mesh). Warn about topology exposure",YES,Browser Extension,ChatGPT/Claude web,"1. Create docker-compose.yml with internal endpoints
2. Paste into AI
3. Verify infra pattern detection
4. Test public vs internal IPs","Config: 10.0.x.x IPs, vault.internal.company.com, mongodb://prod-db:27017, VAULT_TOKEN=hvs.xxx","≥90% internal infra detection, distinguishes internal from public IPs",P1
10,Data Leak → Sharing,Create public doc link,All roles,"Set Google Doc to 'Anyone with link' for quick collab, forget to revoke","Sets sharing to public internet access, link persists indefinitely",HIGH,50-100x/day,"T1567.002 (Exfil to Cloud Storage)
T1537 (Transfer to Cloud Account)","Atomic: T1567.002 (rclone to Mega/S3/Dropbox)
Caldera: Advanced Thief profile (collection → staging → exfil to cloud)
Custom: Google Drive share scope monitor",SSPM (discovery),Discovers public links after the fact; can't determine intent; alert goes to SOC not user,At share-time: 'This sets file to public. Set 7-day auto-expire?' Post-share: periodic review reminders,YES,Browser Extension,Google Drive (test account),"1. Open Google Drive test file
2. Click Share → 'Anyone with link'
3. Verify extension intercepts share dialog
4. Test auto-expire flow","Google Workspace test account. Files: quarterly report (sensitive), public FAQ (clean)","≥95% public link detection, auto-expire suggestion shown",P0
