Technique ID,Technique Name,Tactic,Robin Scenarios,Atomic Red Team Tests Available,Caldera Abilities,Coach Detection Point,Test Priority
T1115,Clipboard Data,Collection,"Paste to AI, clipboard to external app, CRM data copy","PowerShell clipboard capture, xclip Linux, VBA macro clipboard access",T1115 collection ability in Stockpile,Browser paste event interception + content classification,P0
T1567,Exfil Over Web Service,Exfiltration,"Upload to AI tools, personal cloud, social media, chat apps","T1567.001 (code repo), T1567.002 (cloud: rclone to Mega/S3/Dropbox), T1567.003 (text: pastebin)","Advanced Thief profile, Cloud Exfil profiles (Dropbox, AWS, FTP)",Browser upload/paste interception + destination classification,P0
T1048,Exfil Over Alternative Protocol,Exfiltration,"FTP/SFTP transfer, DNS exfil, ICMP tunnel","T1048 (DNS via dig), T1048.002 (HTTPS via curl to file.io), T1048.003 (FTP, SMTP, ICMP, rclone)","FTP exfil profile, DNS exfil abilities, Stockpile alt-protocol abilities",CLI transfer monitoring + destination validation + protocol detection,P1
T1052.001,Exfil Over USB,Exfiltration,Copy files to USB/external drive,T1052.001 (copy test file to removable media),Stockpile removable media abilities,File copy to removable media interception + content classification,P1
T1011.001,Exfil Over Bluetooth,Exfiltration,AirDrop/Bluetooth file transfer,T1011.001 (Bluetooth exfil test),Custom Bluetooth exfil ability,Wireless transfer detection + content-aware filtering,P2
T1113,Screen Capture,Collection,"Screenshots of dashboards, screen sharing in meetings","T1113 (screencapture Mac, import Linux, snippingtool Win)",T1113 screenshot collection ability,Screenshot event capture + vision model PII detection,P2
T1552.001,Unsecured Credentials in Files,Credential Access,"Secrets in git, .env files, passwords.txt, CI/CD configs","T1552.001 (findstr/grep for passwords), T1552.004 (copy SSH keys)",Credential harvesting abilities in Stockpile,Pre-commit hook + local file scan + pipeline YAML audit,P0
T1528,Steal App Access Token,Credential Access,"OAuth consent exploitation, shadow SaaS signup",T1528 (steal application access token),OAuth token enumeration abilities,OAuth consent screen interception + scope analysis,P0
T1176,Browser Extensions,Persistence,Install risky browser extensions,T1176 (install malicious browser extension),Custom extension install ability,Extension install interception + risk scoring,P0
T1195.002,Supply Chain: Software,Initial Access,"Typosquatted packages, risky IDE extensions",T1195.002 (supply chain compromise),Custom supply chain abilities,Pre-install name similarity + registry metadata check,P1
T1078,Valid Accounts,Defense Evasion,"Stale access, over-provisioned accounts, rubber-stamp reviews","T1078 (use valid/stale accounts), T1078.004 (cloud accounts)",Privilege discovery abilities,Access review enrichment + usage-based right-sizing,P0
T1098,Account Manipulation,Persistence,"Over-provision, contractor access, permission creep","T1098 (add user to group/role), T1136 (create account)",Account creation + assignment abilities,Provisioning interception + role baseline comparison,P1
T1056.003,Web Portal Capture,Credential Access,Phishing credential harvest pages,T1056.003 (credential harvesting web page),Custom phishing abilities,Credential entry domain comparison + real-time blocking,P0
T1621,MFA Request Generation,Credential Access,MFA fatigue / push bombing attacks,T1621 (MFA request flood generation),Custom MFA push ability,Unsolicited push detection + login session correlation,P1
T1566.001,Spearphishing Attachment,Initial Access,BEC wire transfer fraud,T1566.001 (spearphishing with attachment),Spearphishing abilities,Email origin → payment action cross-reference,P1
T1562.001,Disable/Modify Tools,Defense Evasion,"Incognito browser bypass, disable firewall","T1562.001 (disable Defender, disable firewall)",Tool disabling abilities,Incognito detection + posture check at access,P1
T1070.004,File Deletion,Defense Evasion,Mass delete after exfil (cover tracks),"T1070.004 (rm, del, shred)",Indicator removal abilities,Mass deletion correlation with prior exfil events,P2
T1005,Data from Local System,Collection,"Insider data hoarding, endpoint secret storage",T1005 (find + stage sensitive local files),Find Files abilities in Stockpile,Volume anomaly + content classification + departure context,P1
T1029,Scheduled Transfer,Exfiltration,Automated periodic data exfil via sync apps,Caldera T1029 (cron/cmdlet scheduled exfil),Scheduled Transfer ability (cron + cmdlet),Sync app detection + directory sensitivity assessment,P2
T1030,Data Transfer Size Limits,Exfiltration,Chunked exfil to evade volume detection,Caldera T1030 (file chunking before exfil),File chunking + exfil abilities,Volume anomaly even with chunking (aggregate detection),P2
T1040,Network Sniffing,Credential Access,Public WiFi attack surface,"T1040 (tcpdump, tshark packet capture)",Network sniffing abilities,Network trust detection + VPN enforcement,P2
